monthData,PE_total
2005/8/1,93.49305713
2005/9/1,74.6032783
2005/10/1,53.03526559
2005/11/1,39.97815193
2005/12/1,36.18457534
2006/1/1,59.12165515
2006/2/1,51.51959755
2006/3/1,68.6352682
2006/4/1,90.08519218
2006/5/1,105.8675982
2006/6/1,96.69403662
2006/7/1,123.5104078
2006/8/1,108.2840321
2006/9/1,80.70516107
2006/10/1,53.26230569
2006/11/1,39.8817722
2006/12/1,31.9600062
2007/1/1,36.95691414
2007/2/1,36.07539106
2007/3/1,77.18507722
2007/4/1,104.789001
2007/5/1,105.7193456
2007/6/1,96.78086011
2007/7/1,114.2849749
2007/8/1,101.6354259
2007/9/1,80.2546236
2007/10/1,72.90917596
2007/11/1,41.36389763
2007/12/1,38.52087566
2008/1/1,36.23075135
2008/2/1,33.31864712
2008/3/1,62.97949969
2008/4/1,92.27230332
2008/5/1,105.5660353
2008/6/1,97.09153127
2008/7/1,107.6622929
2008/8/1,94.28431876
2008/9/1,71.41171088
2008/10/1,47.08923544
2008/11/1,36.1725823
2008/12/1,40.10672629
2009/1/1,39.65961169
2009/2/1,54.72094612
2009/3/1,70.06639929
2009/4/1,94.57073972
2009/5/1,91.1115501
2009/6/1,96.75666579
2009/7/1,106.1671533
2009/8/1,96.31373992
2009/9/1,72.43445677
2009/10/1,50.2223436
2009/11/1,43.42100486
2009/12/1,36.14475294
2010/1/1,40.60823952
2010/2/1,50.55375656
2010/3/1,80.63000751
2010/4/1,101.3947756
2010/5/1,107.3786427
2010/6/1,94.9040667
2010/7/1,109.5027043
2010/8/1,101.7371891
2010/9/1,77.54804626
2010/10/1,56.33833389
2010/11/1,43.05441208
2010/12/1,35.23995354
2011/1/1,31.99544128
2011/2/1,48.23517801
2011/3/1,64.75579498
2011/4/1,84.36226928
2011/5/1,96.54913576
2011/6/1,94.7697264
2011/7/1,106.2216943
2011/8/1,100.4686555
2011/9/1,72.66572058
2011/10/1,55.9263455
2011/11/1,38.10608421
2011/12/1,36.75399098
2012/1/1,27.74398627
2012/2/1,42.79538222
2012/3/1,59.68228378
2012/4/1,79.34192211
2012/5/1,97.75517582
2012/6/1,93.39546034
2012/7/1,107.3323051
2012/8/1,98.15819414
2012/9/1,78.66505685
2012/10/1,50.43491148
2012/11/1,45.8150098
2012/12/1,36.78063543
2013/1/1,35.23420959
2013/2/1,52.97213923
2013/3/1,75.7727617
2013/4/1,79.71995383
2013/5/1,86.46753983
2013/6/1,104.4693655
2013/7/1,112.1047391
2013/8/1,113.0242424
2013/9/1,73.21138152
2013/10/1,57.2322621
2013/11/1,36.40255267
2013/12/1,30.59091383
2014/1/1,35.38958867
2014/2/1,45.02410998
2014/3/1,65.96628977
2014/4/1,84.65215835
2014/5/1,113.8303035
2014/6/1,100.9090536
2014/7/1,116.6735617
2014/8/1,91.80561652
2014/9/1,68.58930262
2014/10/1,53.46496137
2014/11/1,46.51486119
2014/12/1,36.30136929
2015/1/1,30.35689296
